"Report Date","Client Id","Report time","Employee Id","Employee Full Name","Division","Home Phone","SSN","Hire Date","Term Date","Birth Date","Address","Employee Type","Active Status","City-State-Zip","Last Name","First Name Initial","Location","Department","Shift","Project","Pay Method","Pay Rate","Job Title"
"06/25/2018","243","22:29","G04616","SMITH ROBERT J","","772/555-6497","258-58-7962","06/28/2002","03/28/2003","08/29/1957","2121 ANY ST","REG FT","T","HOBE SOUND FL 33455","SMITH","ROBERT J","1","100","","","HOURLY","17.0000","CLERK"
"06/25/2018","243","22:29","H04617","SMITH BOB ","","561/555-6454","521-72-8710","08/31/2002","03/07/2003","02/01/1967","3773 S JASON","REG FT","T","WEST PALM BEACH FL 33407","SMITH","BOB ","1","100","","","HOURLY","15.2500","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","J04595","FIRST ZERO Z","","561/555-2113","251-21-1795","01/01/2002","02/28/2003","01/01/1950","123 BRASS ST","REG FT","T","BOCA RATON FL 33497","FIRST","ZERO Z","1","100","","","HOURLY","5.1500","CLERK"
"06/25/2018","243","22:29","J04667","NINE CLOUD H","TESTDIV","561/777-7777","777-77-7777","08/16/2006","04/06/2007","01/01/1940","777 CLOUD NINE ROAD.","REG FT","T","WEST PALM BEACH FL 33407","NINE","CLOUD H","1","100","TR","MAINT","HOURLY","12.0000","THINKER"
"06/25/2018","243","22:29","L04573","LIPPERT KAY I","","561/857-9645","657-95-3247","05/01/2002","11/20/2006","05/15/1972","1125 OAK LANE","REG FT","T","NORTH PALM BEACH FL 33408","LIPPERT","KAY I","1","100","","TEST","HOURLY","14.0000","CLERK"
"06/25/2018","243","22:29","L04597","JOE HENRY ","1","561/555-3258","245-93-5555","02/02/2002","10/07/2009","02/02/1967","123 HENRY ST","REG FT","T","WEST PALM BEACH FL 33407","JOE","HENRY ","1","100","","TEST---SARASOTA","HOURLY","10.0000","CLERK"
"06/25/2018","243","22:29","M04622","LOMBARD ZOE ","","","556-17-9751","01/01/2003","02/07/2003","07/28/1959","123456","REG FT","T","WEST PALM BEACH FL 33407","LOMBARD","ZOE ","1","100","","","SALARY","24000.00","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","M04694","MICHAEL ANNE M","","555/555-5555","333-33-3333","04/14/2007","05/11/2007","01/01/1968","1000 ORANGE AVENUE","REG FT","T","ORLANDO FL 32803","MICHAEL","ANNE M","1","100","","","SALARY","75000.00","PRESIDENT"
"06/25/2018","243","22:29","N04599","HOYT JANELLE R","","772/555-9635","522-94-4096","09/01/1998","11/30/2007","01/02/1961","11371 WEST 107 PLACE","REG FT","T","STUART FL 34997","HOYT","JANELLE R","1","100","","","SALARY","1300000.00","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","N04623","SMITH JOE T","","","100-98-0090","05/22/2002","02/01/2008","09/05/1978","333 MAIN STREET","REG FT","T","WEST PALM BEACH FL 33407","SMITH","JOE T","1","100","","","SALARY","26000.00","CLERK"
"06/25/2018","243","22:29","N04647","DOE JOHN A","1","941/966-6281","111-33-3333","08/29/2005","11/03/2009","01/01/1975","123","REG FT","T","SARASOTA FL 34231","DOE","JOHN A","1","100","","UTULV","HOURLY","25.5000","CLERK"
"06/25/2018","243","22:29","N04887","DOE JOHN ","2504","727/777-9999","555-56-5556","09/05/2011","00/00/0000","01/01/1908","123 ABC ST","REG FT","A","TAMPA FL 33634","DOE","JOHN ","3","100","","SERVER","HOURLY","10.0000","CASHIER"
"06/25/2018","243","22:29","P04624","SMITH LAURA ","","","123-45-7788","08/01/2002","03/26/2009","02/05/1980","122 SEA","REG FT","T","WEST PALM BEACH FL 33407","SMITH","LAURA ","1","100","","","HOURLY","50.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","R04625","SMITH JANE D","","555-555-5555","555-55-5555","08/07/2002","03/14/2003","05/15/5555","5555 ANYWHERE ST.","REG FT","T","WEST PALM BEACH FL 33407","SMITH","JANE D","1","100","","","HOURLY","15.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","R04649","JOE JASON ","","941/555-1212","956-58-4282","08/29/2005","05/13/2006","02/15/1976","1256 ANYWHERE","REG FT","T","TAMPA FL 33602","JOE","JASON ","1","100","","HOSPITAL","HOURLY","10.0000","THINKER"
"06/25/2018","243","22:29","S04626","SMITH JOE K","","561-227-6500","654-98-2347","02/01/2003","03/21/2003","08/31/1970","120 FOX RD","REG FT","T","WEST PALM BEACH FL 33407","SMITH","JOE K","1","100","","","HOURLY","25.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","S04674","BROWN NICOLE ","","754/845-6023","249-62-3978","02/10/2007","06/06/2012","01/01/1969","1200 W. BEVERLY DRIVE","REG FT","T","STUART FL 34997","BROWN","NICOLE ","1","100","","","HOURLY","16.8270","CLERK"
"06/25/2018","243","22:29","S04746","GREY GARY A","COLORADOACQ","561/555-1213","605-25-9041","03/29/2008","08/31/2008","02/06/1988","50 CIRCLE S","REG FT","T","FORT LAUDERDALE FL 33321","GREY","GARY A","1","100","","X04703","HOURLY","23.0000","OFFICE CLERK"
"06/25/2018","243","22:29","T04603","LAST WANNABE M","","999-999-9999","222-22-2222","08/12/2002","02/07/2003","05/28/1968","1061 E INDIANTOWN RD","REG FT","T","JUPITER FL 33477","LAST","WANNABE M","1","100","","","SALARY","55200.00","CLERK"
"06/25/2018","243","22:29","T04627","STEVENSON PATRICIA ","","","263-08-4252","08/21/2002","01/31/2007","09/27/1953","3493 SHEROIUER","REG FT","T","WEST PALM BEACH FL 33407","STEVENSON","PATRICIA ","1","100","","","HOURLY","16.0000","CLERK"
"06/25/2018","243","22:29","T04675","CLIENT MARY ","","561/551-5555","334-45-8207","07/01/2007","11/13/2009","01/01/1973","22 MAIN","REG FT","T","BOYNTON BEACH FL 33437","CLIENT","MARY ","1","100","","","HOURLY","10.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","T04747","SMITH JOHN M","","561/555-1475","082-12-1234","10/01/2007","05/31/2009","08/13/1960","123 START ST","REG PT","T","GREENACRES FL 33413","SMITH","JOHN M","2","100","","","HOURLY","15.0000","CLERK"
"06/25/2018","243","22:29","T04867","TEST TEST ","","   /   -    ","456-78-9123","01/20/2011","00/00/0000","01/01/1970","123 TEST","REG FT","A","WEST PALM BEACH FL 33415","TEST","TEST ","3","100","","","HOURLY","11.0000","LEAD"
"06/25/2018","243","22:29","U04604","MITCHELL GEORGE ","1","561-444-8888","018-32-2222","02/22/2002","01/11/2007","03/24/1977","222 MAIN ST","REG FT","T","BOYNTON BEACH FL 33435","MITCHELL","GEORGE ","1","100","TR","HOSPITAL","HOURLY","77.0000","CLERK"
"06/25/2018","243","22:29","U04700","SCHMIDT JASON ","","813-247-5400","581-00-7893","05/05/2007","12/05/2007","04/30/1963","4300 LAKESIDE RD","REG PT","T","TAMPA FL 33606","SCHMIDT","JASON ","1","100","","","HOURLY","0.0318","CLERK"
"06/25/2018","243","22:29","W04582","ASDF FRANK A","","561/555-8888","998-35-6525","12/01/2002","00/00/0000","01/05/1956","FRANKS STREET","REG PT","A","WEST PALM BEACH FL 33407","ASDF","FRANK A","1","100","","TEST","HOURLY","22.1155","CLERK"
"06/25/2018","243","22:29","W04606","PLANK RETA ","","407/555-8726","456-76-1234","08/13/2002","11/11/2006","07/29/1929","123 PLANK RD","REG FT","T","ORLANDO FL 32817","PLANK","RETA ","1","100","","","HOURLY","6.0000","CLERK"
"06/25/2018","243","22:29","W04678","SMITH CHRIS S","","","123-55-5555","01/01/2007","06/16/2007","07/18/1967","125 MAIN STREET","REG FT","T","WEST PALM BEACH FL 33407","SMITH","CHRIS S","1","100","","","HOURLY","10.0000","CLERK"
"06/25/2018","243","22:29","X04751","CYRUS MILEY D","1","772/555-1212","082-50-1235","05/01/2008","00/00/0000","01/01/1965","123 DISNEY LANE","REG PT","F","WEST PALM BEACH FL 33413","CYRUS","MILEY D","1","100","","","HOURLY","19.2308","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","Y04608","ZEBRA BRAD ","","941-555-1212","525-85-7755","06/22/2002","02/09/2009","02/17/1982","1 MAIN ST","REG FT","T","SARASOTA FL 34232","ZEBRA","BRAD ","1","100","","","HOURLY","15.0000","CLERK"
"06/25/2018","243","22:29","Y04704","SHIPIRO JOSEPH P","","954/888-9966","123-56-7894","05/19/2007","07/07/2007","12/12/1966","4255 EAST STREET","REG FT","T","POMPANO BEACH FL 33065","SHIPIRO","JOSEPH P","1","100","","","HOURLY","10.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","Z04585","ROBERTS BOB ","","772/555-8874","123-45-4689","02/21/2002","02/21/2003","02/21/1976","123 WAY","REG FT","T","HOBE SOUND FL 33455","ROBERTS","BOB ","1","100","","","SALARY","52000.00","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","Z04633","SMITH MARIE A","1","813-996-9999","408-41-6879","06/04/2004","11/18/2006","09/12/1980","123 ABC STREET","REG FT","T","TAMPA FL 33618","SMITH","MARIE A","1","100","","","HOURLY","11.0000","CLERK"
"06/25/2018","243","22:29","A04610","ROBERT SMITH J","","772/555-4125","123-34-8579","07/22/2002","02/21/2003","08/22/1968","1234 ANY ST","REG FT","T","HOBE SOUND FL 33455","ROBERT","SMITH J","1","200","","","HOURLY","17.5000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","A04682","FRANK TARA A","","904/999-9999","999-99-9998","03/24/2007","04/20/2007","01/01/1992","123 MAIN ST","REG PT","T","JACKSONVILLE FL 32226","FRANK","TARA A","1","200","TR","","HOURLY","12.0000","CLERK"
"06/25/2018","243","22:29","B04611","SCHMOE JOE E","","954/555-4785","111-22-0033","01/01/2003","02/28/2003","08/12/1945","1234 HAPPY ST","REG FT","T","FORT LAUDERDALE FL 33309","SCHMOE","JOE E","1","200","","","HOURLY","15.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","B04707","SMITH PATTI ","","561/227-6812","999-88-7516","05/26/2007","08/10/2007","08/26/1971","123 BROOK LN","REG FT","T","JUPITER FL 33458","SMITH","PATTI ","1","200","","","HOURLY","20.0000","THINKER"
"06/25/2018","243","22:29","C04588","Smith JAN M","","772/555-5888","361-46-0404","02/24/2007","04/06/2007","11/08/1953","3396 FOX ROAD","REG FT","T","HOBE SOUND FL 33455","Smith","JAN M","1","200","TR","K04596","SALARY","78000.00","CLERK"
"06/25/2018","243","22:29","E04686","JANE DOUGLAS M","","561/555-1478","082-45-6789","03/31/2007","05/25/2007","02/02/1984","123 ANY WHERE ST","REG FT","T","WEST PALM BEACH FL 33415","JANE","DOUGLAS M","1","200","","","HOURLY","28.8463","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","F04591","DOE JANE C","","772/555-8863","000-00-0000","01/01/2002","07/13/2009","01/01/1967","5555 FUN PLACE","REG FT","T","HOBE SOUND FL 33455","DOE","JANE C","1","200","","","SALARY","104000.00","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","M04598","HERBERT DOUGLAS N","1","407-212-2854","242-22-1885","01/01/1991","03/13/2006","12/27/1962","1811 WEST 22D AVENUE","REG FT","T","ORLOVISTA FL 32811","HERBERT","DOUGLAS N","1","200","","MAINT","HOURLY","19.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","P04600","HUBBARD DAVID M","","772-272-8217","267-57-1545","03/03/2002","01/24/2003","12/27/1962","12380 85 ST","REG FT","T","ORLANDO FL 32837","HUBBARD","DAVID M","1","200","","","HOURLY","5.1500","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","V04581","CROSS KYM U","","561/984-5787","698-88-7548","02/01/2002","00/00/0000","08/18/1956","1 BEACH ST","REG FT","A","WEST PALM BEACH FL 33409","CROSS","KYM U","1","200","","TEST","SALARY","80000.00","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","V04605","MOUSE MINNIE A","","772/555-6969","262-65-1621","01/01/2003","03/28/2003","09/09/1962","123 ANYTOWN AVE","REG FT","T","HOBE SOUND FL 33455","MOUSE","MINNIE A","1","200","","","HOURLY","50.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","X04583","BLACK JOE N","","561/555-9988","000-66-8869","12/02/2002","07/31/2009","05/10/1964","123 ANYWHERE ST.","REG FT","T","LAKE PARK FL 33403","BLACK","JOE N","1","200","","LIGHTNING-ROD","HOURLY","10.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","X04607","TRAVOLTA JOHN ","","941/555-6868","444-82-9888","01/01/2003","02/14/2003","05/01/1960","111 SEAGULL DRIVE","REG FT","T","SARASOTA FL 34232","TRAVOLTA","JOHN ","1","200","","","HOURLY","0.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","Z04681","FRANSIS TARA A","","904/999-9999","158-45-3698","03/17/2007","00/00/0000","01/01/1992","123 MAIN ST","REG FT","A","JACKSONVILLE FL 32226","FRANSIS","TARA A","1","200","TR","","HOURLY","12.0000","CLERK"
"06/25/2018","243","22:29","A04706","SMITH MARTY ","1","813/514-2222","594-89-4294","05/26/2007","07/28/2007","02/21/1976","123 EASY ST","REG FT","T","STUART FL 34997","SMITH","MARTY ","1","300","","","HOURLY","10.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","B04587","BROWN JOE N","","561-222-1515","005-28-3369","12/04/2002","00/00/0000","05/10/1964","211 OCEAN BLVD","REG FT","A","LAKE PARK FL 33403","BROWN","JOE N","1","300","","","HOURLY","7.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","B04683","FORSYTHE BYRON D","","214/621-5792","465-87-7468","03/24/2007","06/16/2007","03/12/1982","13163 MICHELLE DR","REG FT","T","STUART FL 34997","FORSYTHE","BYRON D","1","300","","","SALARY","37497.46","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","B04731","ADDISON BRANDON R","","724/123-5421","561-56-5555","07/21/2007","08/10/2010","07/01/1960","125 LAKE LANE","REG FT","T","FAIRVIEW SHORES FL 32804","ADDISON","BRANDON R","1","300","","","HOURLY","29.0000","THINKER"
"06/25/2018","243","22:29","C04708","SMYTH CORAL L","","999/874-5125","561-74-7611","06/02/2007","06/30/2007","08/29/1991","10 BAYROCK RD","REG FT","T","TEQUESTA FL 33469","SMYTH","CORAL L","1","300","","","HOURLY","20.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","D04733","THOMAS SUZIE ","COLORADOACQ","561/555-7425","123-55-6678","07/28/2007","00/00/0000","07/18/1976","125 MAIN STREET","REG FT","A","RIVIERA BEACH FL 33407","THOMAS","SUZIE ","2","300","","A04586","HOURLY","17.0000","OFFICE CLERK"
"06/25/2018","243","22:29","E04614","SMITH ROBERT ","","772/555-6321","111-22-3333","07/30/2002","03/07/2003","12/25/1955","6283 LONG KEY LANE","REG FT","T","STUART FL 34997","SMITH","ROBERT ","1","300","","","HOURLY","15.0000","CLERK"
"06/25/2018","243","22:29","E04638","SMITH JOHN ","","561/555-1212","273-20-1980","03/21/2004","09/13/2006","12/31/1972","4400 N. CONGRESS AVE","REG FT","T","RIVIERA BEACH FL 33407","SMITH","JOHN ","1","300","","","HOURLY","7.5000","CLERK"
"06/25/2018","243","22:29","F04615","SMITH ROBERT M","","","245-78-8547","06/30/2002","03/28/2003","10/07/1942","4400 CONGRESS AVE","REG FT","T","RIVIERA BEACH FL 33407","SMITH","ROBERT M","1","300","","","HOURLY","20.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","G04568","SMITH SAM ","","558/555-4777","225-66-8744","01/01/2002","03/28/2003","01/02/1958","1 PINE ST","REG FT","T","WEST PALM BEACH FL 33408","SMITH","SAM ","1","300","","","HOURLY","10.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","G04592","HAWN GOLDIE M","","941/544-4444","245-56-2441","01/30/2002","02/21/2003","02/02/1960","2222 VISTA DR","REG FT","T","BRANDON FL 33511","HAWN","GOLDIE M","1","300","","","HOURLY","10.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","G04640","AMBROSE CRENEE ","1","727/866-8320","262-27-6870","07/01/2004","08/31/2009","04/09/1956","4422 CATALONIA WAY S-","REG FT","T","SAINT PETERSBURG FL 33712","AMBROSE","CRENEE ","1","300","TR","LIGHTNING-ROD","SALARY","37575.46","CLERK"
"06/25/2018","243","22:29","H04593","DILLER KAREN G","","941/555-3369","366-98-2598","01/01/2002","00/00/0000","12/05/1974","123 ANYWHERE","REG FT","A","BRADENTON FL 34209","DILLER","KAREN G","1","300","","","HOURLY","16.8270","CLERK"
"06/25/2018","243","22:29","I04594","DOE JULIE ","","561/555-6554","999-99-9999","02/20/2002","01/01/2003","01/01/1980","123 MAIN STREET","REG FT","T","WEST PALM BEACH FL 33407","DOE","JULIE ","1","300","","","SALARY","30000.00","CLERK"
"06/25/2018","243","22:29","J04619","SMITH BARNEY ","","555/555-6985","594-89-4293","08/08/2002","05/15/2007","02/21/1976","123 LAKE ST","REG FT","T","LUTZ FL 33549","SMITH","BARNEY ","1","300","","","SALARY","30000.00","CLERK"
"06/25/2018","243","22:29","J04691","LIVELY FRED M","","888/627-4735","555-16-7489","04/14/2007","07/14/2007","06/28/1975","123 LAKE AVE","REG PT","T","STUART FL 34997","LIVELY","FRED M","1","300","","","HOURLY","7.0000","CLERK"
"06/25/2018","243","22:29","M04718","HARRELL ANNA I","","724/222-5555","111-55-7777","06/16/2007","05/25/2011","02/04/1979","4554 RIVER TIDE","REG FT","T","PALM BEACH GARDENS FL 33410","HARRELL","ANNA I","1","300","","","HOURLY","7.2500","CLERK"
"06/25/2018","243","22:29","S04698","RAIMER KAREN ","","530/546-2855","584-53-0291","05/05/2007","04/09/2008","02/25/1977","123 BLUE OCEAN LANE","REG PT","T","STUART FL 34997","RAIMER","KAREN ","1","300","","","HOURLY","26.7500","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","U04676","COLBERT STEPEN ","","688/555-5555","555-02-9988","02/12/2007","00/00/0000","12/05/1968","1010 DAILEY LANE","REG FT","A","STUART FL 34997","COLBERT","STEPEN ","1","300","TR","","HOURLY","40.2500","THINKER"
"06/25/2018","243","22:29","V04677","DEMETRE JOE ","SALES","","111-11-1111","01/01/2007","00/00/0000","12/05/1954","20 ELM ST","REG FT","A","PENSACOLA FL 32502","DEMETRE","JOE ","1","300","","","HOURLY","16.0000","LEAD"
"06/25/2018","243","22:29","X04631","ANISTON JENNIFER ","1","561/555-2426","144-87-3302","05/20/2004","03/31/2011","02/21/1958","1324 SPRUCE DRIVE","REG PT","T","WEST PALM BEACH FL 33401","ANISTON","JENNIFER ","1","300","","KITCHEN","SALARY","38400.00","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","Y04584","BLUE TRUE A","1","941-554-0000","222-87-3145","12/03/2002","00/00/0000","01/01/1960","1122 PURPLE STREET","REG FT","A","SARASOTA FL 34232","BLUE","TRUE A","1","300","","HOMEDEPOT","HOURLY","5.1500","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","Z04609","PITT BRAD ","","555-555-5555","555-44-7895","07/25/2002","02/14/2003","07/04/1972","12 MAIN ST","REG FT","T","SARASOTA FL 34236","PITT","BRAD ","1","300","","","HOURLY","5.1500","CLERK"
"06/25/2018","243","22:29","B04635","BROWN TODD R","1","770/606-5525","234-56-7891","03/01/2004","00/00/0000","03/01/1960","2120 SMITH ST.","REG FT","A","STUART FL 34997","BROWN","TODD R","1","400","","SUPER-BOWL","HOURLY","31.2500","CLERK"
"06/25/2018","243","22:29","I04618","SMITH JOE P","","772/555-8951","594-89-4292","01/01/2003","03/21/2003","02/21/1972","123 LAKE STREET","REG FT","T","SEWALLS POINT FL 34996","SMITH","JOE P","1","400","","","HOURLY","20.0000","CLERK"
"06/25/2018","243","22:29","K04620","SMITH JERRY ","","555/555-3214","594-89-4342","08/19/2002","03/14/2003","02/21/1976","1256 LAKE","REG FT","T","TAMPA FL 33618","SMITH","JERRY ","1","400","","","HOURLY","10.0000","CLERK"
"06/25/2018","243","22:29","L04621","CLAUS SANTA ","","555-333-2222","253-99-8025","03/31/2002","06/01/2009","12/24/1930","1133 SNOWY LANE","REG FT","T","WEST PALM BEACH FL 33407","CLAUS","SANTA ","1","400","","","HOURLY","15.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","L04669","HAVE A LIFE LUIS ","SALES","123/123-1435","082-50-1234","01/01/2006","03/09/2007","08/15/1666","1231 1","REG FT","T","LAKE WORTH FL 33463","HAVE A LIFE","LUIS ","1","400","TR","NORTHSIDE","SALARY","20800.00","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","M04646","BROWN CHARLIE B","1","777/123-4567","123-23-4567","06/06/2005","06/20/2009","03/22/1975","1 ELM ST","REG FT","T","EWING NJ 08639","BROWN","CHARLIE B","1","400","","R04601","HOURLY","17.0000","THINKER"
"06/25/2018","243","22:29","P04696","NODAHO INGRID M","SALES","316/555-5555","522-04-8888","04/21/2007","11/09/2007","12/01/1970","102 W 1ST","REG FT","T","STUART FL 34997","NODAHO","INGRID M","1","400","","","HOURLY","7.5000","THINKER"
"06/25/2018","243","22:29","R04601","JORDAN JEANNE M","1","561/555-4563","543-90-8167","06/01/2000","04/15/2007","12/05/1961","1657 MOFFETT RD","REG FT","T","WEST PALM BEACH FL 33407","JORDAN","JEANNE M","1","400","","ICU","HOURLY","17.5000","CLERK"
"06/25/2018","243","22:29","S04602","KINEAR GREGORY ","","561/555-3698","233-23-2323","10/21/2002","09/13/2006","01/01/1970","400 SW 20TH STREET","REG FT","T","DELRAY SQUARE FL 33445","KINEAR","GREGORY ","1","400","","","HOURLY","19.2308","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","V04629","MARTIN RICKY ","","516-458-4587","511-45-7896","07/05/2003","05/15/2006","12/18/1978","13 DUCK POND ROW","REG FT","T","RIVIERA BEACH FL 33407","MARTIN","RICKY ","1","400","","","HOURLY","15.0000","CLERK"
"06/25/2018","243","22:29","W04630","TIMBERLAKE JUSTIN D","","561/999-5578","123-45-6788","12/03/2003","04/20/2007","07/14/1973","121 AROUND THE WORLD WAY","REG PT","T","LAKE WORTH FL 33463","TIMBERLAKE","JUSTIN D","1","400","","","HOURLY","75000.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","W04750","WOHL SHEL ","","561/555-1478","135-42-5841","03/29/2008","02/20/2009","09/12/1951","24 HILL","REG FT","T","WEST PALM BEACH FL 33407","WOHL","SHEL ","1","400","","","HOURLY","10.0000","THINKER"
"06/25/2018","243","22:29","C04636","LOPES JENNIFER ","1","999-123-4567","594-12-6798","05/16/2004","10/25/2004","07/15/1966","104 JENNY FROM THE BLOCK","REG PT","T","STUART FL 34997","LOPES","JENNIFER ","1","900","","","HOURLY","25.0000","CLERK"
"06/25/2018","243","22:29","M04886","DOE JOE ","2504","813/555-5555","555-56-5555","09/05/2011","00/00/0000","01/01/1970","123 ABC ST","REG FT","A","TAMPA FL 33634","DOE","JOE ","1","9000","","PAYROLL","HOURLY","10.0000","CASHIER"
"06/25/2018","243","22:29","C04684","GONZALEZ ELIZABETH ","1","772/683-2040","542-12-2987","03/31/2007","11/25/2007","06/05/1984","30 A OLD SOUTH","REG PT","T","STUART FL 34997","GONZALEZ","ELIZABETH ","1","ADMIN","","HOSPITAL","HOURLY","10.0000","OFFICE CLERK"
"06/25/2018","243","22:29","F04687","BRIAN JONES ","","561/111-1111","332-44-1666","04/07/2007","00/00/0000","01/01/1988","123 MAIN","REG PT","A","BOYNTON BEACH FL 33437","BRIAN","JONES ","1","ADMIN","","","HOURLY","29.0000","CLERK"
"06/25/2018","243","22:29","G04712","CARSWELL QUENTIN ","IDEA","561/555-8547","222-22-6666","06/09/2007","00/00/0000","02/01/1975","91 EAST MONROE STREET","REG FT","A","LAKELAND FL 33806","CARSWELL","QUENTIN ","1","ADMIN","","HOSPITAL","HOURLY","12.0000","CLERK"
"06/25/2018","243","22:29","I04690","KIM FLOWER K","","772/221-9874","488-62-3206","04/07/2007","04/27/2007","02/16/1960","123 WALNUT GROVE","REG PT","T","STUART FL 34997","KIM","FLOWER K","1","ADMIN","","","HOURLY","9.0000","CLERK"
"06/25/2018","243","22:29","K04716","LAVOIE BRANDON R","","724/231-2222","111-23-4561","06/16/2007","03/17/2008","07/01/1960","125 LAKE LANE","REG PT","T","SOUTH FEDERAL FL 34997","LAVOIE","BRANDON R","1","ADMIN","","","HOURLY","7.5000","CLERK"
"06/25/2018","243","22:29","L04693","MARTINES ALEXANDER R","","843/684-0409","626-09-5214","04/14/2007","02/01/2008","06/09/1974","96 MATHEWS DRIVE NO.202","REG PT","T","STUART FL 34997","MARTINES","ALEXANDER R","1","ADMIN","","","HOURLY","15.0000","THINKER"
